iter	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
180	0.2869351342	0.1595635318	0.6574389131	0.08855519029
185	0.2874478906	0.1597334779	0.6590325671	0.08910546543
190	0.2873353343	0.1612014341	0.6596376045	0.08920551546
195	0.2877855594	0.1611801734	0.6606502952	0.08955569054
200	0.2882482908	0.1623092102	0.6609394459	0.08985584062
205	0.2882357846	0.1628328053	0.6610855974	0.08975579059
210	0.2882858096	0.1630298483	0.661954782	0.08990586563
215	0.2889611472	0.1633493135	0.6621508125	0.08995589064
220	0.2895239286	0.1640871825	0.6618580009	0.09000591566
225	0.2896114724	0.1644857151	0.6611882831	0.09005594067
230	0.2895239286	0.1649647046	0.6619219833	0.09010596568
235	0.2895864599	0.1646826191	0.6619434472	0.09010596568
240	0.2896990162	0.1660130065	0.6617309616	0.08985584062
245	0.28988661	0.1666169196	0.662845516	0.09035609074
250	0.2905744539	0.1664993608	0.6638759916	0.09065624082
255	0.290824579	0.1674981935	0.6635563873	0.09060621581
260	0.2909496415	0.1671837308	0.6631580731	0.09060621581
265	0.291174754	0.1678268301	0.6639925558	0.09070626583
270	0.2912122728	0.1679794064	0.6639994044	0.09065624082
275	0.2914623979	0.1685005003	0.6641999466	0.09090636588
280	0.2917750542	0.169769607	0.6648212575	0.09145664102
285	0.2921002168	0.1705458285	0.6654361138	0.09155669104
290	0.2920376855	0.1712397866	0.6658565621	0.09130656598
295	0.2926004669	0.1713246901	0.66606535	0.09150666603
300	0.292900617	0.1714871325	0.6669105884	0.09175679109
305	0.2928380857	0.1721117503	0.6661096052	0.09150666603
310	0.2928756045	0.1728068201	0.6657962541	0.09160671606
315	0.2931257295	0.1732938692	0.6660274032	0.09150666603
320	0.2934133734	0.1734285198	0.6670150182	0.09175679109
325	0.2937885609	0.1746813685	0.6671580968	0.09190686613
330	0.2942012673	0.1749751265	0.6669778604	0.09200691616
335	0.2944263799	0.176078039	0.6669448523	0.09215699119
340	0.2945764549	0.1755158135	0.6672838115	0.09255719129
345	0.2948640987	0.1765063087	0.6677421846	0.09260721631
350	0.2952142738	0.1771324551	0.6685658288	0.09280731636
355	0.2955394364	0.1775719804	0.668691348	0.09290736638
360	0.2959021177	0.1776327052	0.6707573431	0.09335759149
365	0.2962022678	0.1779620366	0.6705019049	0.09345764152
370	0.2967275304	0.1785120338	0.671713658	0.09390786663
375	0.2963648491	0.178578039	0.6701759844	0.09370776658
380	0.2965149241	0.1789625368	0.671640178	0.09405794167
385	0.2966649992	0.1792807515	0.6724468529	0.09410796668
390	0.2968901117	0.1802599911	0.6732357089	0.09425804172
395	0.2968776055	0.1805654216	0.6736004565	0.09435809174
400	0.2970902118	0.1811302874	0.6739699865	0.09455819179
405	0.2974278806	0.1812400645	0.6740001298	0.09480831686
410	0.2975779556	0.1818933078	0.6742216691	0.09490836688
415	0.2975404369	0.1817649102	0.673787157	0.09475829184
420	0.2979656495	0.1822857262	0.6742525683	0.09500841691
425	0.2982657996	0.1826949586	0.6766895038	0.09545864202
430	0.2985909621	0.1829996943	0.6754409837	0.09540861701
435	0.2989036185	0.1833796065	0.6756424002	0.09560871706
440	0.2992287811	0.1833926686	0.6764336689	0.09575879209
445	0.2991912623	0.1836145851	0.6756369339	0.09575879209
450	0.2994038686	0.1841552721	0.6764534289	0.09595889214
455	0.2996164749	0.1840557779	0.6763722042	0.09610896718
460	0.2996664999	0.1848288033	0.6762613723	0.09595889214
465	0.2999791562	0.1850398811	0.6768978694	0.09635909224
470	0.3003293313	0.1855178978	0.6774981695	0.09650916728
475	0.3001792563	0.185587377	0.6770548923	0.09640911726
480	0.3004418876	0.185363793	0.6778605982	0.09655919229
485	0.3007545439	0.1862920349	0.677931846	0.09655919229
490	0.3008295815	0.1860930465	0.6776327065	0.09655919229
495	0.3009171252	0.1863983381	0.6781607483	0.09670926733
500	0.3010296815	0.1860378801	0.6793740082	0.09680931736
505	0.3009921627	0.1864669835	0.6779608377	0.09670926733
510	0.3012422878	0.1871852593	0.6786591035	0.09695939239
515	0.3012422878	0.187046023	0.6789598491	0.09700941741
520	0.3018050692	0.1879514757	0.6797137253	0.09735959249
525	0.3017300317	0.1883102662	0.680413886	0.09745964252
530	0.3020176755	0.1884720138	0.6809189004	0.09740961751
535	0.3022427881	0.188484798	0.6811857005	0.09760971756
540	0.3025804569	0.1879821855	0.6814714494	0.09765974257
545	0.3026429882	0.1892172475	0.6824054301	0.09785984262
550	0.3032182758	0.1891305375	0.6838178247	0.09810996768
555	0.3033058196	0.1891113612	0.6830337205	0.09810996768
560	0.3033058196	0.1893172975	0.6821429242	0.09805994267
565	0.3034684009	0.1897234728	0.6822419997	0.09821001771
570	0.303918626	0.1900658663	0.6843567476	0.09866024282
575	0.3038560947	0.1893445334	0.6847218652	0.09861021781
580	0.3041937635	0.1903960313	0.683602745	0.09831006773
585	0.3042813073	0.1904421655	0.6841774371	0.09836009274
590	0.3043938636	0.1903668501	0.6853245655	0.09871026783
595	0.3044939136	0.1908937802	0.6850648036	0.09856019279
600	0.3045939636	0.1906854816	0.6852267894	0.09866024282
605	0.30500667	0.1907785837	0.6863266594	0.09901041791
610	0.3051942638	0.1915008893	0.6864052702	0.09916049294
615	0.3053693513	0.1916151131	0.6853720154	0.09911046793
620	0.3055194264	0.1918941415	0.6858055656	0.09931056798
625	0.3057695514	0.1925194542	0.6862997926	0.09946064302
630	0.3057320327	0.1924763771	0.6867647076	0.09946064302
635	0.3060321828	0.1923763271	0.6874271601	0.09976079309
640	0.3062948141	0.1928453115	0.6891409103	0.1000609432
645	0.3063823578	0.1931592185	0.688804402	0.1001609932
650	0.3067200267	0.1934472792	0.6893344289	0.1003110682
655	0.3068075705	0.1940149241	0.6890935472	0.1001609932
660	0.306982658	0.1939098716	0.6897989379	0.1004111183
665	0.3071702518	0.1938660997	0.6906111981	0.1006112183
670	0.3072327831	0.1942699127	0.6905259553	0.1006612433
675	0.3074829081	0.1942179423	0.6915391783	0.1008613434
680	0.3078580957	0.1943702407	0.6904320286	0.1008113184
685	0.3077830582	0.1946085543	0.6904366249	0.1005611933
690	0.3078956145	0.1955776499	0.690272654	0.1007112683
695	0.3080456895	0.1957393975	0.6908726654	0.1009613934
700	0.3084959146	0.1956372631	0.6916360341	0.1012115185
705	0.3086710022	0.1962654939	0.6915385648	0.1014116185
710	0.3087460397	0.1961679451	0.6913788709	0.1014116185
715	0.3090837085	0.1964779612	0.6918304856	0.1016117186
720	0.3093088211	0.1967425379	0.6923908668	0.1017117686
725	0.3093213273	0.1969017842	0.6932214589	0.1018118186
730	0.3093088211	0.1968388361	0.6926521085	0.1016117186
735	0.3095089211	0.197643405	0.6932189955	0.1016617436
740	0.3096464899	0.1973049025	0.6939545635	0.1017617936
745	0.30994664	0.1975009727	0.6944311907	0.1020619437
750	0.3099591462	0.197773748	0.6937954562	0.1021619937
755	0.310096715	0.1981829804	0.6936474655	0.1020619437
760	0.3101717525	0.1986172253	0.6933258762	0.1020119187
765	0.3104969151	0.1993282752	0.69401215	0.1022120187
770	0.310884609	0.1991016342	0.6951353307	0.1025621938
775	0.3110471903	0.1991961258	0.695427128	0.1027622938
780	0.310984659	0.1992084931	0.6961411176	0.1027622938
785	0.3115474404	0.1993776055	0.6975183052	0.1031124689
790	0.3119851592	0.1997865599	0.6974146819	0.103312569
795	0.312022678	0.1997268078	0.6972131742	0.103412619
800	0.3124103719	0.1995906286	0.6981595952	0.1036627441
805	0.3127480407	0.2000459952	0.6983253735	0.1038128191
810	0.313060697	0.2003661553	0.6987586259	0.1037627941
815	0.3129856595	0.2001120004	0.6989910987	0.1038628441
820	0.313160747	0.2007531544	0.6992146078	0.1041129692
825	0.3132232783	0.2010453838	0.6983512974	0.1039628941
830	0.3131982658	0.2015067256	0.699972346	0.1041629942
835	0.3134859096	0.2017881163	0.6999287155	0.1042630442
840	0.3138360847	0.2016433217	0.7003813227	0.1043630942
845	0.3141112223	0.2014829637	0.700951449	0.1045631943
850	0.3141862598	0.202106053	0.7015331643	0.1047132693
855	0.3144989161	0.2020815964	0.7021718585	0.1050134194
860	0.3145864599	0.2025257073	0.7017369368	0.1048633444
865	0.314936635	0.2024726252	0.7024050528	0.1052635445
870	0.3150742038	0.2027024623	0.702063892	0.1051134694
875	0.3152617976	0.2031617197	0.7027009259	0.1053135695
880	0.3153993663	0.2033152687	0.702155415	0.1054636445
885	0.3155619476	0.2037403424	0.7022715445	0.1054136195
890	0.3156119727	0.2040424379	0.7017024107	0.1054136195
895	0.3158120727	0.204095381	0.702574719	0.1057137696
900	0.3157995664	0.2042675504	0.7028283886	0.1057137696
905	0.3158996165	0.2042517092	0.7038949933	0.1059138696
910	0.3160121728	0.2044762659	0.7038084241	0.1060139197
915	0.3158871102	0.2044770997	0.7036825675	0.1061139697
920	0.3159871602	0.2045036407	0.7030085708	0.1060139197
925	0.316174754	0.204706242	0.702933201	0.1061139697
930	0.3164874104	0.2047919793	0.7029113647	0.1060639447
935	0.3165499416	0.2050384915	0.7037528569	0.1061639947
940	0.3167625479	0.2051788394	0.7037350089	0.1063640947
945	0.3170251793	0.2055444389	0.7038904257	0.1064141198
950	0.3172878106	0.2059297704	0.7042737342	0.1064641448
955	0.3174253794	0.2061541882	0.7042141806	0.1065141698
960	0.3176504919	0.206071369	0.7061985061	0.1068143199
965	0.3177255294	0.2064095937	0.7051720188	0.1066642448
970	0.3180131733	0.20665555	0.7063452245	0.1068143199
975	0.3181132233	0.2079923295	0.706220162	0.1067642948
980	0.3181382358	0.208261075	0.7069187436	0.1069643949
985	0.3180882108	0.2088080151	0.7069030431	0.1069643949
990	0.3183258296	0.2083569563	0.7075442367	0.1070644449
995	0.3183383358	0.2081625535	0.7081334202	0.10721452
1000	0.3187385359	0.208027347	0.7086495513	0.10731457
1005	0.318838586	0.2087157468	0.7094274284	0.1076147201
1010	0.318838586	0.2086787838	0.7093081408	0.1077147701
1015	0.3191262298	0.209572703	0.7091457972	0.107564695
1020	0.319188761	0.2098017064	0.7088922402	0.1077147701
1025	0.3191637485	0.2100960202	0.7091265596	0.1078148201
1030	0.3192262798	0.2102509588	0.709743676	0.1079648951
1035	0.3195264299	0.2099780446	0.7100999147	0.1080149202
1040	0.3194638986	0.2098911956	0.7100373835	0.1079648951
1045	0.3197015174	0.2103999222	0.7103913483	0.1081649952
1050	0.3197765549	0.2105094214	0.7104463628	0.1081149702
1055	0.3199141237	0.210800956	0.7105509606	0.1082150202
1060	0.3200141738	0.210934634	0.7114761781	0.1084651453
1065	0.3201142238	0.2112671614	0.7113132178	0.1084651453
1070	0.3202017676	0.2110449669	0.7116622485	0.1084651453
1075	0.3203518426	0.2110441332	0.7116265164	0.1084651453
1080	0.3204518926	0.2114560058	0.7118339919	0.1085651953
1085	0.3208395865	0.2111238953	0.7121125222	0.1087152703
1090	0.3210271803	0.2114868545	0.712250488	0.1086152203
1095	0.3211397365	0.2117829748	0.7128281578	0.1087652953
1100	0.3211522428	0.2123638208	0.7128194413	0.1089153704
1105	0.3213273303	0.2122907287	0.7133992767	0.1091154704
1110	0.3214523929	0.2126698071	0.713196993	0.1090654454
1115	0.3213648491	0.2130045578	0.7130510868	0.1091154704
1120	0.3215899616	0.2129311878	0.7136704441	0.1093155705
1125	0.3217275304	0.2126443777	0.7133968515	0.1094156205
1130	0.321952643	0.2132630204	0.714309808	0.1096657456
1135	0.322052693	0.2138811072	0.7146308143	0.1097657956
1140	0.3222778056	0.2140727308	0.7146730849	0.1097657956
1145	0.3225904619	0.2141160858	0.7145175418	0.1097657956
1150	0.3226279807	0.2147569618	0.7154669758	0.1097657956
1155	0.3226029682	0.2149890223	0.7156940624	0.1099158706
1160	0.3227530432	0.2145246234	0.7149686997	0.1098658456
1165	0.3227780557	0.2147875327	0.715777071	0.1099658956
1170	0.322890612	0.2154078428	0.7160436836	0.1101159707
1175	0.322940637	0.2155095603	0.7165382074	0.1101659957
1180	0.3232532933	0.2156160024	0.7163881324	0.1101159707
1185	0.3235034184	0.2165495248	0.71693007	0.1102660457
1190	0.3236284809	0.2159975821	0.7170423639	0.1103660957
1195	0.3238660997	0.2166537435	0.7169806177	0.1102660457
1200	0.3239661497	0.2168268857	0.7169505522	0.1104661458
1205	0.323928631	0.217446501	0.7168533299	0.1104661458
1210	0.3240161748	0.2176282586	0.7171149992	0.1105161708
1215	0.3241912623	0.218074176	0.7182707052	0.1108663459
1220	0.3244038686	0.2177844478	0.718441624	0.1110664459
1225	0.3248415875	0.2175739259	0.7193976576	0.111266546
1230	0.3249041187	0.2178027903	0.7186703126	0.111316571
1235	0.3249916625	0.2179623145	0.7194504646	0.111516671
1240	0.3250792063	0.2183494525	0.7193670895	0.111566696
1245	0.3251542438	0.2187388139	0.719972948	0.1116167211
1250	0.325016675	0.2190575843	0.7194532437	0.111416621
1255	0.3256169752	0.218925296	0.7204027084	0.1117167711
1260	0.3254919126	0.2196967928	0.7204408102	0.1117667961
1265	0.3254919126	0.2200145906	0.7198784078	0.1118168211
1270	0.3253918626	0.2202327553	0.7192781076	0.1116167211
1275	0.3257295314	0.220080179	0.7202869454	0.1118168211
1280	0.3257920627	0.2200384915	0.7206368407	0.1118168211
1285	0.3260672003	0.2205404091	0.720719927	0.1119668961
1290	0.3258921127	0.220290423	0.7201613144	0.1117667961
1295	0.3258921127	0.2203311378	0.7198376677	0.1117667961
1300	0.3260421878	0.2210759546	0.720175213	0.1119168711
1305	0.3262172753	0.2206789506	0.7208767875	0.1120669462
1310	0.3262923128	0.2210958257	0.7207774955	0.1120669462
1315	0.3264173754	0.221104858	0.7206312102	0.1120669462
1320	0.3265174254	0.2208701573	0.7217482217	0.1123670962
1325	0.3266800067	0.2212978712	0.7217764409	0.1123670962
1330	0.3266299817	0.2212696626	0.72173993	0.1122670462
1335	0.3266424879	0.2217305875	0.7211697731	0.1122170212
1340	0.3267925629	0.2220550553	0.7208604915	0.1122670462
1345	0.3270551943	0.2222388972	0.7203807233	0.1125171713
1350	0.3268676005	0.2218527319	0.7201601168	0.1123170712
1355	0.3273178256	0.2220286532	0.720799039	0.1126172213
1360	0.3272427881	0.2230377689	0.7206739765	0.1126172213
1365	0.3273553443	0.2235416319	0.7204238514	0.1125171713
1370	0.3276304819	0.2238348341	0.7211700454	0.1126672463
1375	0.3277555444	0.2240404925	0.7212862626	0.1126172213
1380	0.3278055695	0.2242633817	0.7215200792	0.1127172713
1385	0.3277555444	0.2242397588	0.7213523671	0.1126172213
1390	0.3277555444	0.2243606525	0.7211191336	0.1124671463
1395	0.3279556445	0.2241947363	0.7208620606	0.1125671963
1400	0.3280181758	0.2243235507	0.7207337913	0.1126172213
1405	0.3281432383	0.2247423712	0.7214656744	0.1128673464
1410	0.3282057696	0.2250811517	0.7214603271	0.1127172713
1415	0.3283808571	0.2251589684	0.721278826	0.1127672963
1420	0.3283308321	0.2256558835	0.7212236703	0.1127672963
1425	0.3283058196	0.2259567284	0.7214279391	0.1128673464
1430	0.3283058196	0.2261810072	0.7216395833	0.1128173214
1435	0.3283683508	0.2262390918	0.7209675898	0.1127172713
1440	0.3287435384	0.2260464955	0.7214953429	0.1129673964
1445	0.3287310322	0.226051359	0.7221178764	0.1131674964
1450	0.3290311823	0.2263062087	0.7218454448	0.1130674464
