iter	PairLogit	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.6909564056	0.1632107721	0.04049635929	0.5049319526	0.04038110325
5	0.6813475216	0.2370101718	0.07068839976	0.5539847704	0.0529874064
10	0.6735482738	0.243988661	0.075664221	0.5591903372	0.05573878209
15	0.6673889871	0.2444263799	0.07784822967	0.564005834	0.05608895718
20	0.6625574281	0.2492913123	0.0823040687	0.568768145	0.05839010775
25	0.658391941	0.2501792563	0.08438038464	0.5677768666	0.05849015778
30	0.6549479996	0.251054694	0.08548774387	0.5706512618	0.059390608
35	0.6519977432	0.2531682508	0.08565282641	0.5734015718	0.06039110825
40	0.6495395837	0.253818576	0.08622616864	0.5755096623	0.06079130835
45	0.6471936886	0.2562698016	0.08975376577	0.5807516452	0.0621920087
50	0.6451034298	0.2574453894	0.08987618809	0.5825690392	0.06309245893
55	0.6433526763	0.2586209772	0.0909589517	0.5847551107	0.0641930092
60	0.6417298377	0.2596715024	0.09058821077	0.5869643864	0.06469325933
65	0.6402263916	0.2602843088	0.09253418376	0.5874804272	0.06519350945
70	0.6388521001	0.2615599466	0.09395280974	0.5905138305	0.0661940097
75	0.6376889341	0.2622102718	0.09521733089	0.5920875079	0.06654418479
80	0.6364735484	0.2635359346	0.09750819854	0.5959044254	0.0677948101
85	0.6353280085	0.2639236285	0.09844311044	0.5959567141	0.06784483512
90	0.6343421879	0.2645864599	0.09937413151	0.596314548	0.0681950102
95	0.6333653547	0.2654243789	0.10014674	0.5982782915	0.0685952103
100	0.6324642167	0.2660121728	0.100190373	0.5990469945	0.06904543542
105	0.6314561602	0.2662497916	0.1009627036	0.5997740445	0.06934558549
110	0.6307273317	0.266812573	0.1018760769	0.6006438247	0.06974578559
115	0.6299336547	0.2672753043	0.1029750987	0.6008301587	0.06989586063
120	0.6292349261	0.2677755544	0.1035307932	0.6036811547	0.07049616078
125	0.6285824901	0.2677505419	0.1035307932	0.6036072542	0.07039611075
130	0.6279126605	0.2680631983	0.1044110944	0.6055906558	0.07079631085
135	0.6273444036	0.2681132233	0.1047191651	0.6053131666	0.07064623582
140	0.6267419017	0.2682758046	0.1043078484	0.604390651	0.0705962108
145	0.6261191396	0.2686134734	0.1056437941	0.6053574609	0.07089636088
150	0.625465309	0.2690511923	0.1061312601	0.6063287799	0.07119651095
155	0.6249381538	0.2693513423	0.107129398	0.6060181087	0.071396611
160	0.624323333	0.2700516925	0.1076013007	0.6063892971	0.07159671105
165	0.6237622815	0.2701517425	0.1081628314	0.6066442089	0.07159671105
170	0.6231527679	0.2704143739	0.1085766494	0.6078956283	0.07194688614
175	0.6226128677	0.2706770052	0.1090115891	0.6076996238	0.07189686113
180	0.6220302	0.2710521928	0.1093284142	0.6092485821	0.07224703622
185	0.6214929727	0.2711272303	0.1102007948	0.6093768513	0.07234708624
190	0.6209992877	0.2712647991	0.110103524	0.6102607439	0.0725972113
195	0.6205090504	0.2716900117	0.1107717748	0.6113382098	0.07304743642
200	0.6202123899	0.2718275805	0.1106212829	0.6106590823	0.07289736138
205	0.6197976542	0.2721277305	0.1115039464	0.6110276117	0.0729974114
210	0.619279835	0.2721777555	0.1111793397	0.6111216513	0.07319751145
215	0.6189248729	0.2722402868	0.1109582569	0.6100794635	0.0729974114
220	0.6184889084	0.2723278306	0.111979323	0.6116153297	0.07314748644
225	0.617980464	0.2728655995	0.1126242288	0.612571366	0.07334758649
230	0.6175833543	0.2730031683	0.113023873	0.6133286891	0.07364773657
235	0.6172347841	0.2732407871	0.1130804291	0.6141074249	0.07384783662
240	0.6168351952	0.2735784559	0.1132828914	0.6147001483	0.07404793667
245	0.6164646602	0.273828581	0.1137739703	0.6156147806	0.0741980117
250	0.616064374	0.2739161247	0.1145921572	0.6154423098	0.07424803672
255	0.6156900814	0.2745164249	0.1147611306	0.6161387078	0.07474828684
260	0.6153279914	0.2743913623	0.1157573231	0.6160179715	0.07464823682
265	0.6149954203	0.274916625	0.1157656606	0.6175502852	0.07509846193
270	0.6146344925	0.2748415875	0.1163041243	0.6175276243	0.07529856198
275	0.6142663594	0.275116725	0.1167733867	0.6176370225	0.07534858699
280	0.6139852719	0.2754168751	0.117066172	0.6184709793	0.07554868704
285	0.6136448756	0.2751917625	0.1175443277	0.6179279679	0.07519851195
290	0.6133266377	0.2754669001	0.1174783225	0.6178258335	0.07534858699
295	0.6129063236	0.2759921627	0.1179050636	0.6191065514	0.07584883712
300	0.6125665859	0.2758671002	0.1184055917	0.6186728939	0.07574878709
305	0.6122220833	0.2757545439	0.118818437	0.6176241372	0.07554868704
310	0.6118229592	0.2761672503	0.1185658107	0.6187201398	0.0757988121
315	0.6115985076	0.2761922628	0.1190393808	0.6183838605	0.07564873707
