iter	QueryRMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.1906717069	0.1995539436	0.05298371408	0.5282374947	0.04718450495
5	0.1895471027	0.2457895614	0.09470832639	0.5735631033	0.06004093316
10	0.1886048158	0.2489411372	0.09842310044	0.574947544	0.06094138339
15	0.1878081826	0.2516925129	0.1031624145	0.5789509289	0.0621920087
20	0.1871552577	0.2536434884	0.1059382469	0.5829478482	0.06354268404
25	0.186557866	0.2553693513	0.1079285476	0.586982871	0.06464323432
30	0.1860517696	0.2565824579	0.1091379023	0.5880745008	0.06509345943
35	0.1856068405	0.2581082208	0.1111364015	0.5918031138	0.06649415978
40	0.1852103386	0.2589336335	0.1115441054	0.5935084758	0.0669944099
45	0.1848543442	0.2599341337	0.1127484576	0.595654751	0.06754468504
50	0.1845281609	0.2615599466	0.1146758101	0.5997027333	0.06914548544
55	0.1842345379	0.262860597	0.1149940248	0.604134491	0.07009596068
60	0.1839534572	0.2633483408	0.1155898783	0.6040043139	0.07044613577
65	0.1836871727	0.2645114224	0.1187602134	0.606635022	0.07149666103
70	0.1834525715	0.2655119226	0.1203779668	0.6083113727	0.0721970112
75	0.1832339959	0.2663373353	0.1214033406	0.6098752993	0.07269726133
80	0.1830137488	0.2674628981	0.1226199211	0.6129540592	0.07384783662
85	0.1828216344	0.2681132233	0.123337641	0.6140166386	0.07434808674
90	0.1826389634	0.2692137736	0.1237206103	0.6159481689	0.07509846193
95	0.182454517	0.2698140737	0.1242362848	0.6187633923	0.0757988121
100	0.1822799754	0.2704143739	0.1254759324	0.62088314	0.07639911225
105	0.1821406376	0.2708520927	0.126832583	0.6213940672	0.07654918729
110	0.1819844073	0.2718150742	0.127179423	0.6228471441	0.07714948744
115	0.1818499435	0.2719776555	0.1280669501	0.6230728522	0.0773996125
120	0.1817194777	0.2724528931	0.1283573731	0.6251767541	0.07809996268
125	0.1815932686	0.2733283308	0.1302242788	0.6274042568	0.0786002128
130	0.1814608168	0.2737535434	0.1310402423	0.6282540864	0.07890036288
135	0.1813530332	0.2742537936	0.1314587849	0.6304741775	0.07955068804
140	0.1812441478	0.2744413874	0.1322026291	0.6307156402	0.0798008131
145	0.1811257005	0.275016675	0.1334153188	0.6310166836	0.08005093817
150	0.1810226334	0.2756920127	0.1351385415	0.6323432578	0.08060121331
155	0.1809279823	0.2759921627	0.1354010339	0.6339294675	0.08090136338
160	0.1808314524	0.2761297315	0.1358154077	0.6338155217	0.08080131336
165	0.180736493	0.2766549942	0.1362470124	0.6352767862	0.08145163852
170	0.1806511061	0.2768676005	0.1373950864	0.6358855863	0.08165173857
175	0.180555901	0.2773053193	0.1388010672	0.637391101	0.08215198869
180	0.1804853213	0.2776554944	0.1395722861	0.6380174242	0.08250216378
185	0.1804145559	0.2778931132	0.1401221444	0.6386711241	0.08270226383
190	0.1803464815	0.2782933133	0.1404930243	0.6391400093	0.08280231386
195	0.1802774964	0.2786935134	0.1406903452	0.6410834423	0.08355268904
200	0.1802143299	0.2790436885	0.1416876494	0.6410965441	0.08365273907
205	0.1801503491	0.2793438386	0.1420140626	0.6410184748	0.08400291416
210	0.1801054691	0.2792938136	0.1420350453	0.6410457195	0.08385283912
215	0.1800457725	0.2793563448	0.1432695514	0.641525502	0.08420301421
220	0.1799879589	0.2795314324	0.1443128509	0.6427526478	0.08450316428
225	0.1799287137	0.2795189261	0.1448557612	0.6431009335	0.08445313927
230	0.1798757664	0.2796940137	0.1453141849	0.6433186019	0.08455318929
235	0.1798242535	0.27990662	0.1455752876	0.6441140007	0.08475328934
240	0.1797741185	0.279856595	0.1455092824	0.6442272418	0.08510346443
245	0.1797227569	0.2801942638	0.145757601	0.6437718373	0.08500341441
250	0.179675893	0.2804068701	0.1462400645	0.6446158099	0.08535358949
255	0.1796060797	0.2808195765	0.1466091379	0.6454652426	0.08565373957
260	0.1795572492	0.2808320827	0.1468007615	0.6455037458	0.08570376458
265	0.1795032312	0.2812072703	0.1475315435	0.6461416133	0.08610396468
270	0.1794553775	0.2815324329	0.1475894892	0.6472069965	0.08640411476
