iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
230	0.1832504459	0.2928145184	0.1573283864	0.6578134374	0.09110646593
235	0.1831513876	0.2936212452	0.1577030182	0.6600336863	0.09160671606
240	0.1830587426	0.293422895	0.1589414152	0.6591205313	0.09130656598
245	0.1829588593	0.2938456377	0.1588645712	0.658846619	0.09175679109
250	0.1828622284	0.294066162	0.1596338447	0.6588246629	0.09195689114
255	0.1827682942	0.2946021041	0.1599981935	0.659695616	0.09220701621
260	0.1826836532	0.2952316664	0.1603008449	0.6611580717	0.09270726633
265	0.1826006709	0.2953698323	0.1598729921	0.6619323756	0.09270726633
270	0.1825135726	0.2955149879	0.160130065	0.6618990256	0.09270726633
275	0.1824279988	0.295615241	0.1619447224	0.6627984652	0.09285734137
280	0.1823311217	0.2958233982	0.1619615363	0.6622527188	0.09275729134
285	0.1822448928	0.2961149692	0.1629996943	0.6626586036	0.09265724132
290	0.1821305867	0.2961719041	0.1630894614	0.6615308933	0.09270726633
295	0.1820465923	0.2970288901	0.1631093324	0.662112434	0.09295739139
300	0.181964446	0.2973922401	0.1639302985	0.6636271524	0.09325754147
305	0.1818664202	0.2976198893	0.1644120671	0.6632797565	0.09345764152
310	0.1817765315	0.2976910648	0.1653198822	0.6636321152	0.09345764152
315	0.1817134695	0.2975478035	0.1658620977	0.6638461111	0.09340761651
320	0.1816195831	0.2981921473	0.1657446779	0.6626115653	0.09340761651
325	0.1815394525	0.2981757944	0.1656797843	0.6645483733	0.09375779159
330	0.1814720722	0.2981420653	0.1666449892	0.6652779047	0.09390786663
335	0.1813711527	0.2984753092	0.1677694403	0.6634902414	0.09375779159
340	0.1812890678	0.2988729635	0.1682546829	0.6640274418	0.09400791666
345	0.181185621	0.2995654672	0.1693034017	0.6641822811	0.09420801671
350	0.181102023	0.2994794883	0.1693302207	0.663419905	0.09410796668
355	0.181000975	0.3000150659	0.170033489	0.6638838031	0.09445814177
360	0.1809195153	0.3001606785	0.1694141515	0.6661223503	0.09475829184
365	0.1808482274	0.3006237645	0.16991996	0.6658272956	0.09480831686
370	0.1807579883	0.3007776659	0.1703496193	0.6660963632	0.09505844192
375	0.1806861617	0.3011132834	0.1708904452	0.6679706048	0.09545864202
380	0.1806136823	0.300845929	0.1711837863	0.666618955	0.09535859199
385	0.1805499302	0.301522996	0.1720863209	0.668530192	0.09560871706
390	0.1804748121	0.3018710001	0.1726984325	0.668878568	0.09575879209
395	0.1803977524	0.3019937671	0.172696904	0.6693316143	0.09595889214
400	0.1803343716	0.3020810491	0.173230921	0.6695658836	0.09630906723
405	0.1802774995	0.3022474166	0.1734226836	0.6701528594	0.09655919229
410	0.1802078203	0.3023451685	0.1736390417	0.6704494363	0.09660921731
415	0.1801425307	0.302715908	0.1737774443	0.6704226973	0.09680931736
420	0.1800633508	0.3032339579	0.1739701795	0.6704211483	0.09695939239
425	0.1799890404	0.3034603528	0.1746721972	0.6699062264	0.09690936738
430	0.1799164724	0.3036737209	0.1749692902	0.6700009166	0.09700941741
435	0.1798464824	0.3036217465	0.1757970652	0.671219383	0.09710946743
440	0.1797819879	0.3042619491	0.1758067923	0.6707297772	0.09710946743
445	0.1797064776	0.3047083385	0.1761300094	0.67299728	0.09765974257
450	0.1796284035	0.3045488856	0.1767575454	0.6735008868	0.09765974257
455	0.1795739904	0.3046439951	0.1770779834	0.6725633301	0.09740961751
460	0.1795231149	0.3049329599	0.177630065	0.6730475008	0.09750966753
465	0.1794436973	0.3055141942	0.1779966372	0.6731582732	0.09740961751
470	0.1793893925	0.3057387962	0.1781078039	0.6737416339	0.09760971756
475	0.1793461725	0.3057739249	0.1780461064	0.6731843116	0.09770976758
480	0.1792988336	0.3059206669	0.1783690456	0.6735704021	0.09780981761
485	0.1792560421	0.3058169302	0.1777690234	0.6739694111	0.09780981761
490	0.1791865091	0.3060078689	0.1778412818	0.6735484575	0.09800991766
495	0.1791337784	0.3062906593	0.1778724084	0.6746078723	0.09846014277
500	0.1790745147	0.3067671874	0.1784235173	0.6750043097	0.09866024282
505	0.1790209495	0.3068372273	0.1789001445	0.6754704729	0.09861021781
510	0.1789546757	0.3071171676	0.1794979434	0.6756078793	0.09876029284
515	0.1788946866	0.3070894049	0.1795610305	0.6756433557	0.09876029284
520	0.1788232722	0.3069809693	0.1795054472	0.6747536377	0.09841011776
525	0.1787669586	0.3072392706	0.1803843588	0.6749706293	0.09861021781
530	0.1787082687	0.307159831	0.1807703852	0.6745172852	0.09836009274
535	0.1786267173	0.3078138604	0.1806754766	0.6755082985	0.09876029284
540	0.1785555114	0.3081368091	0.1810858207	0.6748368589	0.09851016778
545	0.1784867391	0.3082594415	0.181982519	0.675219229	0.09886034287
550	0.1784324087	0.3086164325	0.1821325941	0.67592299	0.09916049294
555	0.1783740971	0.3089512087	0.1822076316	0.6756505584	0.09906044292
560	0.1783174404	0.3092574526	0.1821923462	0.677025353	0.09946064302
565	0.1782503228	0.3095826175	0.1823678506	0.6774678361	0.09981081811
570	0.1782043823	0.3095418213	0.1835895726	0.6785947885	0.1000109182
575	0.178139581	0.3096461016	0.1839097326	0.679283072	0.1003110682
580	0.1781029419	0.3097712789	0.1843513423	0.6791968447	0.1003110682
585	0.178033635	0.3096686477	0.1845147574	0.6788008258	0.1003110682
590	0.177964841	0.3103265302	0.1844130399	0.6795416294	0.1006112183
595	0.1779115322	0.3103774774	0.1845535268	0.6802348457	0.1006612433
600	0.1778538638	0.3106688295	0.1846052193	0.681161319	0.1007112683
605	0.1778213662	0.3105848917	0.1852531821	0.6806777258	0.1007112683
610	0.1777679279	0.3109813683	0.1854021455	0.6816782927	0.1009613934
615	0.177720803	0.3111170829	0.185430493	0.6817473929	0.1010114184
620	0.1776661086	0.3111864439	0.1848539548	0.6816624145	0.1010114184
625	0.177627172	0.3111949975	0.1853953366	0.6819065509	0.1010114184
630	0.1775742235	0.3117086607	0.18589114	0.6819401987	0.1011614934
635	0.1775094809	0.3122356004	0.1859372742	0.6824910694	0.1014116185
640	0.1774583095	0.3123185389	0.1865691179	0.6818998647	0.1012615435
645	0.1773943334	0.3123452083	0.1873667389	0.6821583272	0.1012115185
650	0.1773496087	0.3126361421	0.1872206937	0.6824959961	0.1013615935
655	0.177299793	0.3127162033	0.1873144906	0.6809380618	0.1012115185
660	0.1772537867	0.3129168498	0.1878066811	0.6822692829	0.1015116685
665	0.1772165958	0.3130777811	0.1885203713	0.6837950458	0.1017117686
670	0.1771441577	0.313374632	0.1887079651	0.6845675812	0.1019618936
675	0.1770830779	0.3133378856	0.1889127897	0.6840782492	0.1020119187
680	0.1770354884	0.3134681266	0.1892367017	0.6848077807	0.1021119687
685	0.1769789824	0.3137860616	0.1895357401	0.68493703	0.1023620937
690	0.1769271071	0.314113923	0.1898160191	0.6855184895	0.1026122188
695	0.176888667	0.3141783717	0.1903875549	0.6859788263	0.1029123689
700	0.176847241	0.3144702966	0.190393808	0.6852464671	0.1030624439
705	0.1767865369	0.3148159748	0.1908419488	0.6853923734	0.1030624439
710	0.1767391575	0.3149027416	0.191351926	0.6863057088	0.1031624939
715	0.1766946875	0.31501784	0.1915393808	0.687056463	0.103412619
720	0.1766355846	0.3153262901	0.1919037296	0.6863118627	0.103362594
725	0.1765883607	0.3153515331	0.1923035129	0.6855809417	0.103262544
730	0.1765374375	0.3157772113	0.1923474237	0.6864079786	0.1036627441
735	0.1764890476	0.3162433731	0.1934551998	0.6869864605	0.1039128691
740	0.1764376237	0.3163915658	0.1932567673	0.6876673565	0.1041129692
745	0.1763905429	0.3162758051	0.1934585348	0.6872717221	0.1040129192
750	0.1763389377	0.3164367405	0.1933626535	0.6871956796	0.1040129192
755	0.1762821285	0.3163173031	0.1937138013	0.6869322362	0.1039628941
760	0.1762370997	0.3166065863	0.1939597577	0.6869662122	0.1039628941
765	0.1761851442	0.3167390839	0.1939032016	0.6869634331	0.1041629942
770	0.1761439528	0.3172204476	0.1938956978	0.6876999124	0.1043630942
775	0.1760927556	0.3172030757	0.194038825	0.6877880152	0.1043630942
780	0.1760283124	0.3173593477	0.1936671113	0.6887027278	0.1046632443
785	0.1759870333	0.3177718864	0.1942086321	0.6887976345	0.1047132693
790	0.1759268043	0.3177588243	0.194358985	0.6881237131	0.1046632443
795	0.1758764909	0.3178874946	0.1946658051	0.6886511718	0.1046132193
800	0.1758270228	0.3181984269	0.1946081374	0.6891365712	0.1047132693
805	0.1757809227	0.3184430957	0.1950723973	0.6895786754	0.1050134194
810	0.1757277533	0.3185594933	0.1956176699	0.689498278	0.1048133194
815	0.1756811604	0.3187177591	0.1961830915	0.6893134634	0.1047632943
820	0.175639012	0.3190924009	0.1963968095	0.6907516825	0.1051134694
825	0.175577985	0.3196538189	0.196765605	0.6910716652	0.1052635445
830	0.1755136009	0.3198374892	0.1963940303	0.6914228023	0.1054136195
835	0.1754606207	0.3197688457	0.196912484	0.6922391566	0.1055136695
840	0.1754167322	0.3197237931	0.1974013396	0.6918386849	0.1056137196
845	0.1753609393	0.3198675693	0.1975482186	0.6913553814	0.1054636445
850	0.1753106534	0.3200491131	0.1975810127	0.6914832231	0.1056137196
855	0.1752594906	0.3205187121	0.1984267134	0.6922088023	0.1059638946
860	0.175226234	0.3203024138	0.1990980212	0.6928229803	0.1058638446
865	0.1751788422	0.3203342435	0.1992821411	0.6926625826	0.1059138696
870	0.1751194106	0.3205693487	0.1992246123	0.6935155885	0.1063140697
875	0.1750808809	0.3207511598	0.199489328	0.6933349426	0.1062640447
880	0.1750449922	0.3209425667	0.1996781724	0.6941186678	0.1064641448
885	0.1749885755	0.3212191197	0.1997461231	0.6943040474	0.1065141698
890	0.1749372819	0.3217341303	0.2001596632	0.6945587382	0.1067142698
895	0.1748997302	0.3217842209	0.1999128731	0.6938000256	0.1065641948
900	0.1748497513	0.3220658977	0.1998816075	0.6934308239	0.1065141698
905	0.1747994943	0.3221592543	0.1998578456	0.6933444712	0.1066142198
910	0.1747589807	0.322405012	0.2000771219	0.6936251851	0.1066642448
915	0.1747164118	0.3225868909	0.2004582847	0.6944855054	0.1068143199
920	0.1746834332	0.3226194255	0.2003055695	0.6945720871	0.1068643449
925	0.1746408533	0.322831611	0.2009765994	0.6965625054	0.107264545
930	0.1746041697	0.3229007242	0.20079109	0.6947471441	0.1069643949
935	0.1745644474	0.3233864429	0.2006098883	0.695891144	0.107264545
940	0.1745195701	0.3232636867	0.201164749	0.6956506974	0.107364595
945	0.1744777872	0.323338082	0.2012099105	0.6953242184	0.107264545
950	0.1744248523	0.3237699723	0.2011743372	0.6956740571	0.10741462
955	0.1743856549	0.3239980235	0.2016308154	0.695528621	0.10731457
960	0.1743353743	0.3236196538	0.2023182425	0.6958829648	0.10721452
965	0.1742768313	0.3236949916	0.2020845145	0.6970796129	0.10751467
970	0.1742418505	0.3236672431	0.2020300428	0.697264229	0.107564695
975	0.1741912489	0.3239539935	0.2026528542	0.6978901733	0.1079148701
980	0.1741387198	0.3243012827	0.2028353065	0.6977809917	0.1078648451
985	0.1741067577	0.3242426572	0.2029543939	0.6977448626	0.1078648451
990	0.1740483954	0.3247653696	0.203094186	0.6991358358	0.1080149202
995	0.1740064921	0.3248393247	0.2033415319	0.6988351851	0.1081149702
1000	0.1739701019	0.3251262829	0.2033590406	0.6988214355	0.1080149202
1005	0.1739247618	0.3252337739	0.2034586738	0.6983906645	0.1078648451
1010	0.1738792552	0.3253449186	0.2039155689	0.6987714105	0.1081149702
1015	0.17383482	0.3253339491	0.2040498027	0.6994842669	0.1083650952
1020	0.1737796177	0.3254826026	0.2043645434	0.6992258043	0.1083150702
1025	0.1737291174	0.325447253	0.2053086265	0.6989756793	0.1082150202
1030	0.1736887672	0.3258582556	0.2050315435	0.6994667979	0.1084151203
1035	0.1736483928	0.326162694	0.2054945528	0.6999372712	0.1085651953
1040	0.1736005481	0.3264593369	0.2050587794	0.6996879096	0.1084651453
1045	0.1735687378	0.3267577635	0.2055625035	0.7003572369	0.1088653454
1050	0.1735265784	0.3270156852	0.2057984548	0.7001047296	0.1089153704
1055	0.1734906635	0.3272764179	0.2055377689	0.7005979587	0.1090154204
1060	0.1734397468	0.3275911501	0.2059438052	0.7013666854	0.1091654954
1065	0.1734076041	0.3274792699	0.206071369	0.701111002	0.1090654454
1070	0.1733506619	0.3275574318	0.2056961814	0.7016356691	0.1091154704
1075	0.1733025724	0.3277916488	0.2061725307	0.7018357692	0.1092155205
1080	0.1732591429	0.3277688551	0.2064776833	0.7018158874	0.1092655455
1085	0.1732240971	0.3280224648	0.2067203046	0.7019683446	0.1094656455
1090	0.1731757504	0.3279567368	0.2065782891	0.7025650715	0.1095156705
1095	0.1731380239	0.32819664	0.2071699739	0.7023618258	0.1093655955
1100	0.1730996674	0.3284920981	0.2077654105	0.7035470676	0.1097157706
1105	0.1730570828	0.3286278161	0.2076898171	0.7039309897	0.1098158206
1110	0.1730110073	0.3287725533	0.2078740759	0.7035244372	0.1097157706
1115	0.172968386	0.3287454146	0.2083930854	0.7034365145	0.1098158206
1120	0.1729333479	0.3290811889	0.2085827636	0.7038668578	0.1099158706
1125	0.1728905667	0.3293386706	0.2092107165	0.7043554138	0.1101659957
1130	0.1728498354	0.3297143271	0.2085341282	0.7051575826	0.1104161208
1135	0.1728189099	0.3296872456	0.2095344895	0.7039986698	0.1103160707
1140	0.1727830778	0.3299167823	0.2097337558	0.7042154448	0.1104661458
1145	0.1727470158	0.3297733311	0.2100147296	0.7041005245	0.1102660457
1150	0.1727030905	0.3299778613	0.210033211	0.7042652894	0.1102660457
1155	0.1726685625	0.329708315	0.2101592463	0.7030230016	0.1100159207
1160	0.1726184646	0.3303066937	0.2103518426	0.7046460353	0.1102660457
1165	0.1725862877	0.3303940209	0.2109068423	0.7048114689	0.1102660457
1170	0.1725413859	0.3307366706	0.2112192207	0.7051324627	0.1105661958
1175	0.1725096997	0.3306829656	0.2114412762	0.7046530564	0.1105661958
1180	0.1724775916	0.330743976	0.2115138125	0.705045713	0.1106662458
1185	0.1724393557	0.3309909503	0.211665416	0.7047854819	0.1106662458
1190	0.1723965039	0.3312670214	0.2114981102	0.7049826043	0.1108663459
1195	0.1723611489	0.3314129693	0.211919154	0.7057982167	0.1110664459
1200	0.1723281434	0.3314023267	0.2123036518	0.7054389101	0.1110164209
1205	0.1722828992	0.3318769412	0.2119620922	0.7056765289	0.111216521
1210	0.172232637	0.3317541933	0.2121296759	0.7055476766	0.1110164209
1215	0.1721976501	0.3321115881	0.2121309266	0.7059000381	0.1111164709
1220	0.1721562563	0.3321473719	0.2124424712	0.7061059103	0.1111664959
