iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.2056800379	0.1644739036	0.04602648546	0.5085455911	0.04033107824
5	0.1999918371	0.2263673503	0.07663929187	0.554621627	0.05323753146
10	0.1966741239	0.2474278806	0.09236910122	0.574966079	0.06079130835
15	0.1946260822	0.2542187761	0.09800025013	0.585992598	0.06454318429
20	0.1932357051	0.2564448891	0.1037065755	0.5895305895	0.06609395968
25	0.1921911052	0.2601842588	0.1080769551	0.5994771781	0.0685952103
30	0.1913635933	0.2630231783	0.1126796732	0.6039749291	0.07119651095
35	0.1907690035	0.264098716	0.1149526152	0.6074043588	0.07224703622
40	0.1902232359	0.2653868601	0.1162935634	0.6115715457	0.0729974114
45	0.1897323799	0.2677630482	0.1209115669	0.6149899069	0.07474828684
50	0.1893169333	0.2698015675	0.1239408593	0.6185362118	0.07594888714
55	0.1890043818	0.2707270302	0.1257134123	0.6217177633	0.07679931235
60	0.1887345016	0.2712397866	0.1272860041	0.6223010123	0.07729956248
65	0.188459692	0.2720151743	0.1290378523	0.622328046	0.07754968754
70	0.1882018788	0.2729281307	0.1292960369	0.6242590069	0.0786002128
75	0.1879390185	0.2741662498	0.1325161192	0.6278747939	0.07965073807
80	0.1877142993	0.2745039186	0.1333822467	0.6289871827	0.08000091315
85	0.1875132898	0.2749416375	0.1350826802	0.6305921671	0.08095138839
90	0.1872899298	0.2758671002	0.1361712801	0.6311416843	0.08105143842
95	0.1871402304	0.2764548941	0.1371749764	0.6328050909	0.08175178859
100	0.1869700215	0.2775929631	0.1380844589	0.6351795132	0.08255218879
105	0.186835098	0.2773303318	0.1388433105	0.6346114865	0.08245213877
110	0.18667689	0.2780682008	0.1390150631	0.6363435986	0.08265223882
115	0.1865189859	0.2782808071	0.1400621144	0.6375691771	0.08310246393
120	0.1864033476	0.2791812573	0.141485465	0.6383113401	0.08375278909
125	0.1862642251	0.2796690012	0.1416959869	0.6396495379	0.08430306423
130	0.1861321422	0.2799316325	0.1432596854	0.640431693	0.08470326433
135	0.1859994006	0.2803318326	0.143441304	0.6412804427	0.08490336438
140	0.1858938299	0.2805194264	0.144035351	0.6415825689	0.08495338939
145	0.1857547029	0.2811697515	0.1452044078	0.6422465689	0.08535358949
150	0.1856145352	0.2816324829	0.1464279362	0.6426795536	0.08550366453
155	0.1855038156	0.2823578456	0.1469590351	0.643411959	0.08595388964
