iter	Passed	Remaining
0	68	273217
1	78	157614
2	89	118856
3	99	99339
4	110	88651
5	159	106286
6	172	98300
7	183	91367
8	193	85813
9	203	81252
10	244	88691
11	255	84755
12	265	81432
13	275	78448
14	286	76102
15	329	82017
16	339	79604
17	349	77418
18	358	75156
19	367	73190
20	408	77328
21	417	75435
22	425	73621
23	434	72012
24	443	70526
25	489	74817
26	515	75904
27	525	74500
28	533	73073
29	543	71859
30	582	74606
31	590	73216
32	598	71960
33	606	70766
34	614	69573
35	653	71969
36	661	70885
37	669	69762
38	677	68770
39	684	67799
40	723	69908
41	731	68966
42	739	68064
43	747	67166
44	754	66334
45	793	68206
46	802	67531
47	811	66787
48	818	66003
49	826	65273
50	868	67251
51	876	66511
52	884	65881
53	892	65199
54	899	64546
55	938	66117
56	946	65446
57	953	64823
58	961	64206
59	967	63564
60	1016	65611
61	1023	65019
62	1031	64439
63	1037	63832
64	1045	63275
65	1084	64613
66	1093	64180
67	1100	63637
68	1107	63079
69	1114	62555
70	1153	63841
71	1160	63312
72	1167	62789
73	1176	62433
74	1184	61966
75	1223	63154
76	1230	62684
77	1239	62339
78	1246	61881
79	1253	61424
80	1290	62449
81	1311	62640
82	1318	62217
83	1325	61771
84	1332	61367
85	1376	62651
86	1383	62226
87	1390	61814
88	1397	61408
89	1404	61005
90	1441	61909
91	1447	61481
92	1453	61081
93	1460	60667
94	1467	60337
95	1510	61423
96	1523	61308
97	1530	60936
98	1536	60561
99	1543	60194
100	1580	61003
101	1586	60628
102	1592	60265
103	1599	59920
104	1605	59560
105	1643	60363
106	1649	60016
107	1655	59675
108	1662	59343
109	1669	59027
110	1708	59844
111	1714	59530
112	1723	59286
113	1730	58993
114	1737	58688
115	1779	59573
116	1785	59257
117	1792	58961
118	1798	58649
119	1805	58362
120	1844	59121
121	1850	58833
122	1857	58555
123	1864	58289
124	1871	58018
125	1913	58823
126	1919	58544
127	1926	58269
128	1932	58001
129	1939	57729
130	1988	58724
131	2003	58710
132	2010	58452
133	2021	58336
134	2028	58068
135	2066	58712
136	2073	58453
137	2081	58253
138	2088	58016
139	2095	57766
140	2139	58552
141	2146	58320
142	2153	58079
143	2160	57844
144	2166	57610
145	2211	58364
146	2218	58142
147	2224	57905
148	2231	57664
149	2238	57442
150	2286	58273
151	2292	58042
152	2299	57820
153	2307	57616
154	2313	57392
155	2354	58021
156	2361	57806
157	2368	57590
158	2374	57369
159	2381	57165
160	2421	57750
161	2428	57542
162	2435	57323
163	2441	57108
164	2450	56967
165	2490	57513
166	2509	57595
167	2523	57554
168	2529	57351
169	2536	57144
170	2575	57678
171	2582	57479
172	2588	57271
173	2595	57068
174	2604	56935
175	2655	57703
176	2662	57512
177	2669	57320
178	2675	57122
179	2682	56936
180	2721	57417
181	2729	57255
182	2735	57061
183	2742	56867
184	2748	56675
185	2795	57318
186	2802	57136
187	2807	56936
188	2814	56755
189	2821	56571
190	2858	57001
191	2865	56825
192	2871	56638
193	2880	56507
194	2886	56329
195	2929	56859
196	2935	56676
197	2942	56508
198	2948	56324
199	2971	56460
200	3009	56879
201	3016	56709
202	3022	56538
203	3029	56371
204	3035	56196
205	3077	56681
206	3083	56504
207	3091	56352
208	3097	56188
209	3106	56060
210	3145	56482
211	3152	56320
212	3158	56153
213	3164	55989
214	3171	55825
215	3213	56302
216	3221	56152
217	3228	56013
218	3235	55861
219	3242	55714
220	3287	56209
221	3294	56058
222	3300	55897
223	3306	55746
224	3313	55593
225	3352	55991
226	3360	55847
227	3366	55694
228	3373	55549
229	3380	55407
230	3427	55919
231	3433	55769
232	3440	55626
233	3447	55485
234	3454	55341
235	3491	55694
236	3516	55831
237	3525	55729
238	3532	55593
239	3540	55469
240	3581	55862
241	3588	55720
242	3594	55573
243	3601	55439
244	3608	55306
245	3647	55669
246	3655	55541
247	3662	55403
248	3668	55260
249	3674	55123
250	3714	55473
251	3720	55336
252	3727	55209
253	3736	55112
254	3743	54978
255	3788	55400
256	3794	55264
257	3801	55142
258	3808	55010
259	3815	54882
260	3854	55216
261	3861	55096
262	3868	54973
263	3876	54863
264	3883	54733
265	3921	55052
266	3928	54929
267	3937	54834
268	3962	54958
269	3969	54837
270	4007	55142
271	4014	55019
272	4020	54893
273	4039	54924
274	4045	54793
275	4084	55105
276	4091	54986
277	4098	54872
278	4105	54755
279	4112	54631
280	4150	54937
281	4157	54813
282	4164	54698
283	4170	54575
284	4177	54452
285	4216	54755
286	4223	54644
287	4230	54524
288	4241	54461
289	4247	54342
290	4289	54674
291	4296	54560
292	4303	54441
293	4309	54328
294	4316	54215
295	4354	54492
296	4361	54382
297	4368	54271
298	4375	54156
299	4382	54049
300	4423	54359
301	4430	54248
302	4436	54134
303	4442	54016
304	4449	53906
305	4494	54251
306	4513	54296
307	4520	54185
308	4527	54083
309	4534	53977
310	4574	54261
311	4581	54152
312	4588	54045
313	4595	53942
314	4604	53863
315	4644	54152
316	4652	54052
317	4659	53954
318	4666	53851
319	4673	53747
320	4713	54024
321	4721	53931
322	4728	53824
323	4735	53721
324	4741	53612
325	4780	53872
326	4786	53768
327	4802	53766
328	4809	53663
329	4816	53560
330	4855	53818
331	4862	53716
332	4868	53610
333	4875	53509
334	4882	53411
335	4922	53683
336	4943	53736
337	4950	53633
338	4957	53533
339	4963	53431
340	5001	53668
341	5008	53566
342	5015	53469
343	5021	53367
344	5027	53266
345	5068	53526
346	5086	53552
347	5093	53456
348	5100	53361
349	5107	53260
350	5151	53552
351	5158	53458
352	5165	53362
353	5172	53269
354	5178	53172
355	5217	53406
356	5224	53313
357	5231	53220
358	5237	53121
359	5244	53026
360	5285	53278
361	5292	53183
362	5298	53090
363	5305	53000
364	5312	52906
365	5353	53150
366	5360	53063
367	5370	53006
368	5376	52910
369	5383	52816
370	5421	53034
371	5428	52942
372	5435	52851
373	5442	52763
374	5454	52725
375	5500	53019
376	5512	52974
377	5520	52893
378	5526	52804
379	5533	52714
380	5571	52923
381	5587	52924
382	5594	52832
383	5601	52745
384	5607	52656
385	5646	52867
386	5653	52782
387	5660	52696
388	5667	52609
389	5674	52521
390	5713	52732
391	5719	52644
392	5726	52554
393	5732	52468
394	5739	52385
395	5777	52578
396	5783	52490
397	5790	52405
398	5796	52317
399	5803	52235
400	5841	52427
401	5848	52342
402	5854	52254
403	5861	52176
404	5868	52092
405	5911	52334
406	5925	52310
407	5932	52228
408	5938	52141
409	5950	52101
410	5991	52316
411	5998	52235
412	6004	52151
413	6014	52097
414	6021	52014
415	6058	52197
416	6065	52112
417	6072	52033
418	6078	51949
419	6085	51869
420	6123	52052
421	6130	51974
422	6136	51893
423	6143	51813
424	6149	51727
425	6188	51922
426	6195	51845
427	6203	51769
428	6209	51687
429	6215	51607
430	6254	51790
431	6261	51715
432	6268	51640
433	6275	51562
434	6284	51502
435	6325	51710
436	6332	51632
437	6342	51577
438	6352	51528
439	6358	51449
440	6396	51624
441	6403	51546
442	6410	51471
443	6417	51394
444	6423	51318
445	6463	51503
446	6469	51426
447	6476	51352
448	6501	51422
449	6508	51343
450	6546	51512
451	6552	51435
452	6559	51362
453	6566	51288
454	6573	51218
455	6611	51387
456	6618	51311
457	6625	51237
458	6631	51163
459	6639	51091
460	6679	51275
461	6688	51219
462	6695	51148
463	6702	51074
464	6709	51003
465	6748	51176
466	6755	51106
467	6762	51033
468	6769	50962
469	6776	50892
470	6814	51060
471	6821	50991
472	6828	50919
473	6835	50850
474	6845	50797
475	6885	50973
476	6920	51115
477	6927	51044
478	6955	51126
479	6966	51085
480	7049	51570
481	7077	51659
482	7104	51730
483	7130	51797
484	7144	51780
485	7225	52246
486	7253	52325
487	7278	52384
488	7294	52376
489	7312	52382
490	7371	52680
491	7381	52627
492	7393	52597
493	7407	52574
494	7422	52559
495	7512	53073
496	7545	53184
497	7573	53259
498	7598	53311
499	7624	53370
500	7705	53812
501	7731	53874
502	7762	53968
503	7795	54071
504	7821	54131
505	7930	54764
506	7956	54815
507	7969	54782
508	7987	54781
509	8007	54794
510	8095	55274
511	8126	55359
512	8155	55435
513	8183	55500
514	8211	55565
515	8293	55996
516	8309	55977
517	8328	55982
518	8355	56041
519	8385	56119
520	8481	56634
521	8509	56698
522	8532	56727
523	8553	56740
524	8585	56827
525	8660	57200
526	8681	57214
527	8697	57193
528	8712	57166
529	8733	57178
530	8821	57631
531	8847	57677
532	8897	57877
533	8929	57958
534	8958	58020
535	9043	58444
536	9069	58487
537	9100	58557
538	9130	58627
539	9155	58663
540	9249	59136
541	9276	59182
542	9306	59252
543	9337	59317
544	9367	59384
545	9456	59824
546	9483	59868
547	9512	59921
548	9542	59985
549	9572	60044
550	9661	60477
551	9690	60530
552	9719	60586
553	9752	60661
554	9766	60621
555	9825	60861
556	9861	60956
557	9895	61042
558	9933	61149
559	9958	61175
560	10048	61596
561	10076	61644
562	10107	61704
563	10137	61759
564	10167	61813
565	10264	62273
566	10288	62290
567	10305	62265
568	10321	62236
569	10354	62305
570	10445	62730
571	10476	62786
572	10506	62834
573	10535	62880
574	10566	62938
575	10654	63335
576	10669	63296
577	10679	63227
578	10688	63154
579	10700	63093
580	10740	63204
581	10751	63140
582	10761	63075
583	10771	63007
584	10782	62942
585	10829	63090
586	10838	63020
587	10850	62961
588	10862	62904
