iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.2050698509	0.1810888838	0.04927894503	0.5175707601	0.04198190365
5	0.1987809166	0.2294779764	0.0762006003	0.5459266301	0.05118650595
10	0.1954822913	0.2490274649	0.09370310155	0.5786133136	0.0625922088
15	0.1934093845	0.2549683985	0.1021585793	0.5932490793	0.06679430985
20	0.191982706	0.2606354935	0.1064516981	0.6021876678	0.07044613577
25	0.1909856371	0.2633877043	0.1118999778	0.6051095282	0.07159671105
30	0.190255662	0.2651337906	0.1154830193	0.6126738786	0.07384783662
35	0.1896380424	0.2661824594	0.1159909121	0.6141293642	0.07429806173
40	0.1891685183	0.2676304413	0.119839781	0.6167891167	0.07544863702
45	0.1886611894	0.2695257378	0.1236573842	0.6187436392	0.07664923732
50	0.1882441741	0.2708210428	0.1260039742	0.6214716085	0.0773996125
55	0.1879425084	0.2717175612	0.1273527041	0.6235888115	0.07804993767
60	0.1876245608	0.2727046219	0.1294140126	0.6258140475	0.07865023782
65	0.1873429407	0.2738655275	0.1309435273	0.6283657903	0.0798008131
70	0.1871161185	0.274785792	0.1313726308	0.6285876329	0.08010096318
75	0.1868500245	0.2762554969	0.1337759157	0.63193054	0.08110146343
80	0.1866608168	0.2765234363	0.1340438275	0.6320979369	0.08150166353
85	0.1864543362	0.2766570075	0.1334258796	0.6327754735	0.08180181361
90	0.1862576648	0.2770826343	0.135994803	0.6315763095	0.08170176358
95	0.1860664242	0.2777887979	0.1369670947	0.6334669554	0.08205193867
100	0.1858652757	0.2782305539	0.1390290979	0.6344428563	0.08255218879
105	0.1856709101	0.2788044612	0.1406257295	0.6347000089	0.08280231386
110	0.1855295482	0.2795859529	0.1411989328	0.6359049584	0.08315248894
115	0.1853868519	0.2803247184	0.1423160191	0.6379807724	0.08370276408
120	0.1852404744	0.2801965724	0.1437980101	0.638696029	0.08410296418
125	0.1850906793	0.2804834025	0.1452509588	0.6396548418	0.08430306423
130	0.184932924	0.2813724373	0.1464387749	0.6406035565	0.08480331436
135	0.1847881937	0.2819297649	0.1470151743	0.641150457	0.08490336438
140	0.1846407118	0.2819715413	0.1467439275	0.6421612646	0.08520351446
