iter	PairLogit	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.6908622707	0.1903743538	0.04965607804	0.5186894548	0.04223202871
5	0.6812661705	0.2258921127	0.06418139625	0.544769847	0.0509864059
10	0.6737071022	0.2405369351	0.07288630426	0.5596292166	0.05548865703
15	0.667552774	0.2442512923	0.07604552276	0.5614253574	0.05648915728
20	0.6626662061	0.246014674	0.07652076038	0.5640615586	0.0573896075
25	0.6586654357	0.2481782558	0.07745483853	0.5676434162	0.05844013276
30	0.6552989716	0.2501542438	0.08254335501	0.5717395119	0.05984083311
35	0.6523990754	0.2516174754	0.08584014229	0.5720744682	0.06009095818
40	0.6498838926	0.2540436885	0.0886855928	0.580145369	0.06204193367
45	0.6476556855	0.2554193764	0.09117253071	0.5833623959	0.0629924089
50	0.6457098443	0.256194764	0.09166249792	0.5830678194	0.06294238389
55	0.6439030747	0.2577580457	0.0922533489	0.5856005803	0.0637928091
60	0.6423181225	0.2584709021	0.09362431216	0.5870586429	0.0641930092
65	0.6408022026	0.260096715	0.09551094992	0.5899277418	0.06494338439
70	0.6394281822	0.260934634	0.0972152743	0.5931887583	0.06604393467
75	0.6382327857	0.261872603	0.09822814185	0.5962323616	0.06664423482
80	0.6370414954	0.2623853593	0.09895183703	0.5962585661	0.0665942098
85	0.6359522427	0.2626479907	0.09954588405	0.5961951325	0.06669425983
90	0.6348882476	0.2634859096	0.09932355066	0.5976219462	0.06714448494
95	0.6338740703	0.2641112223	0.1010791507	0.5981961682	0.06754468504
100	0.6329396559	0.2647865599	0.1018821911	0.5988064851	0.06774478509
105	0.6321186682	0.2654243789	0.102783753	0.6000473833	0.06809496018
110	0.6312099375	0.2661622478	0.1031514368	0.6013440762	0.06854518529
115	0.6304707657	0.2664623979	0.1031732533	0.6015865721	0.06904543542
120	0.6297189265	0.2674628981	0.1043849703	0.6039175167	0.06994588564
125	0.6288979775	0.2674628981	0.1047479295	0.6035918398	0.07009596068
130	0.62819553	0.2682007671	0.1052052415	0.6059896837	0.0705962108
135	0.6274832041	0.2686384859	0.1066713913	0.6065108262	0.07094638589
140	0.6268256159	0.2692012673	0.1075339058	0.6082525486	0.07154668604
145	0.6261679115	0.2695014174	0.1078050136	0.6076285478	0.07149666103
150	0.6255434448	0.2701017175	0.1078346118	0.610547633	0.07209696118
155	0.6249305997	0.2707395364	0.1082967873	0.611165345	0.07229706123
160	0.6243707879	0.2711897615	0.1086097215	0.6103056467	0.07239711125
165	0.6237967589	0.2719401367	0.1094680674	0.6123686581	0.0729974114
170	0.6232009975	0.2721152243	0.1100159802	0.6130935687	0.07334758649
175	0.6226893765	0.2724153744	0.1103821355	0.6135937436	0.07349766153
180	0.6221745401	0.2726279807	0.1111070813	0.613881225	0.07354768654
185	0.6216614858	0.2730656995	0.1116889	0.6152594935	0.07394788664
