iter	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.2023928631	0.05043855261	0.5287888641	0.04508345443
5	0.2334083709	0.07054165972	0.554062088	0.05313748144
10	0.2413873603	0.07136137513	0.5631901453	0.05688935738
15	0.2444638986	0.07294522261	0.5683582988	0.05798990765
20	0.2458270802	0.07384789617	0.5716608218	0.05909045793
25	0.2490411873	0.07878494803	0.5727986136	0.05969075808
30	0.2492162748	0.08015438275	0.5735079836	0.06014098319
35	0.2497915624	0.08018064588	0.5754448772	0.06049115828
40	0.2503418376	0.0820350453	0.576691561	0.06089135838
45	0.2518801067	0.08161719749	0.5780690437	0.06124153347
50	0.2523928631	0.08241662498	0.5778430108	0.06154168354
55	0.2526179757	0.0825223723	0.5778351652	0.06159170855
60	0.2537435384	0.08534892446	0.5820751491	0.06269225883
65	0.2541437385	0.08674879106	0.5809549754	0.06264223382
70	0.2550191763	0.08779500862	0.584249798	0.06324253397
75	0.2552192763	0.08829637041	0.5855943384	0.06364273407
80	0.2562072703	0.0899502529	0.5869461794	0.06409295918
85	0.2565324329	0.09030195653	0.5890524658	0.06464323432
90	0.2574078706	0.09282571841	0.5928181968	0.06564373457
95	0.257820577	0.09366613862	0.5931067133	0.06574378459
100	0.258120727	0.09382983158	0.5947952741	0.0661940097
105	0.2582958146	0.09410774832	0.5950398102	0.06654418479
110	0.2586084709	0.09484089267	0.5953020445	0.06679430985
115	0.258958646	0.09490884331	0.5966878851	0.06709445993
120	0.2593588461	0.09568881663	0.5978682247	0.06744463502
125	0.2599091212	0.09650339058	0.5990755744	0.06764473507
130	0.2597965649	0.09732796954	0.5981518983	0.06759471005
135	0.2603343338	0.09858095715	0.5999962137	0.06809496018
140	0.2607845589	0.1000289033	0.6011945401	0.0685952103
145	0.2612597966	0.1005566672	0.6014725054	0.06889536038
150	0.2615474404	0.1008473681	0.6011618985	0.0689954104
155	0.261922628	0.10186232	0.6018213677	0.06914548544
160	0.2625479406	0.1030185926	0.6037937825	0.06964573557
165	0.2625104219	0.1034861875	0.6031912987	0.06949566053
170	0.2627855594	0.1038502585	0.6038898443	0.06964573557
175	0.2629481407	0.1045620032	0.6034654202	0.06944563552
180	0.2631232283	0.1052984826	0.6038210985	0.06974578559
185	0.2635609471	0.1054564782	0.6050453217	0.07004593567
190	0.2640111723	0.1059518648	0.6060981379	0.07024603572
195	0.2640611973	0.1062306153	0.6069149966	0.07039611075
200	0.2644739036	0.1068571786	0.6089380166	0.07089636088
205	0.2648490912	0.1077095492	0.6097175731	0.07104643592
210	0.2648615975	0.1084272692	0.6092745856	0.07109646093
215	0.26508671	0.1086026347	0.6091574816	0.07129656098
220	0.2649241287	0.1086255628	0.608068445	0.07109646093
225	0.2650491913	0.1092008504	0.6080634822	0.07104643592
230	0.2652367851	0.1095108665	0.6078254844	0.07109646093
235	0.2653118226	0.1100416875	0.6081609696	0.07119651095
240	0.2654744039	0.1102216386	0.608857151	0.071396611
245	0.2656870102	0.1102321994	0.6092236222	0.07149666103
250	0.265974654	0.110343644	0.6096722439	0.07174678609
255	0.266174754	0.1108708521	0.6108353254	0.07194688614
260	0.2663373353	0.1111960147	0.6114022756	0.07199691115
265	0.2666499917	0.1115449391	0.6106102129	0.07204693617
270	0.2668876105	0.1122690512	0.6112194461	0.0721970112
275	0.2672502918	0.1126289534	0.6112030688	0.07229706123
280	0.2673378356	0.1131229504	0.6114371144	0.07244713627
285	0.2675879606	0.1131176699	0.6120161738	0.0725972113
290	0.2676504919	0.1132799733	0.6135570083	0.07294738639
295	0.2679131232	0.1140236785	0.6141203853	0.07289736138
300	0.2680757045	0.1151874548	0.6144453493	0.07309746143
305	0.2682382858	0.1152566561	0.6150546598	0.0733976115
310	0.2683508421	0.1157271691	0.6147709395	0.07324753647
315	0.2687635484	0.115734395	0.6151609118	0.07349766153
320	0.2689011172	0.1163644322	0.6153235056	0.07354768654
325	0.2690511923	0.1165477183	0.6155611244	0.07354768654
330	0.2690136735	0.117136068	0.6162943243	0.07369776158
335	0.2692637986	0.1176225613	0.6170365786	0.0737978116
340	0.2695514424	0.1178429493	0.6178040077	0.07414798669
345	0.2696139737	0.1181788116	0.6176101608	0.07414798669
350	0.2693138236	0.1185653938	0.6180770609	0.07409796168
355	0.2697390362	0.118955311	0.6184712245	0.07439811175
360	0.2698140737	0.1194341615	0.6183211494	0.07454818679
365	0.2701892613	0.1193605136	0.6187404879	0.07474828684
370	0.2702142738	0.1200782336	0.6194196153	0.07514848694
375	0.2703643488	0.1207684398	0.6204798677	0.07544863702
380	0.2703768551	0.1210439942	0.6208171575	0.07559871205
385	0.2705644489	0.1213463676	0.6212131889	0.07569876208
390	0.2706519927	0.1214739314	0.62077547	0.07559871205
395	0.2708270802	0.1214760158	0.6214498332	0.0757988121
400	0.2711522428	0.1222512645	0.621595956	0.07584883712
405	0.2711272303	0.1223085154	0.6218377436	0.07589886213
410	0.2712272803	0.1230021955	0.6217106959	0.07584883712
415	0.2713273303	0.1231043299	0.6220404062	0.07594888714
420	0.2711522428	0.1234492246	0.6211427352	0.0757988121
425	0.2715024179	0.1232933133	0.6215393621	0.07589886213
430	0.2714398866	0.1234784059	0.6207425351	0.07574878709
435	0.271802568	0.1234931355	0.62129817	0.07604893717
440	0.2717650492	0.1233569563	0.6218895371	0.07614898719
445	0.272002668	0.1236808682	0.6225766863	0.07639911225
450	0.272102718	0.1241919571	0.6226481506	0.07644913727
455	0.2721652493	0.1242808904	0.6234453024	0.07654918729
460	0.2724278806	0.1247052693	0.6234657672	0.07664923732
465	0.2724653994	0.1250162581	0.6237321522	0.07669926233
470	0.2727280307	0.1256515758	0.6241746353	0.07694938739
475	0.2727655494	0.1262735534	0.6248886287	0.07704943742
480	0.2730531933	0.1264811572	0.6259355807	0.07729956248
485	0.2731532433	0.1268541215	0.6255423618	0.07734958749
490	0.2732657996	0.1267744984	0.626593266	0.0773996125
495	0.2734784059	0.1271288422	0.6258928798	0.07754968754
500	0.2735284309	0.1274938858	0.6263135446	0.07764973757
505	0.2736534934	0.1279713468	0.6277517638	0.0777998126
510	0.2735909621	0.1279780168	0.6284521139	0.07784983762
515	0.2736534934	0.1277716636	0.6282686889	0.07784983762
520	0.2739161247	0.1286508532	0.6290652993	0.07799991265
525	0.2738410872	0.1282731644	0.6284524929	0.07794988764
530	0.2741537435	0.1287207493	0.629019443	0.07809996268
535	0.2739661497	0.1287953699	0.6295325784	0.07809996268
540	0.2740912123	0.1287820299	0.6293671277	0.07814998769
545	0.274178756	0.1293612084	0.6291545214	0.0782000127
550	0.2743413373	0.129796287	0.6291962089	0.07825003772
