iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
285	0.1819217051	0.2939261297	0.169529348	0.6672068464	0.09535859199
290	0.1818520692	0.2942387861	0.1705511089	0.6662153785	0.09510846693
295	0.1817731725	0.2948390862	0.1712628536	0.667085476	0.09570876708
300	0.1817011737	0.2950516925	0.1717840865	0.6680921176	0.09600891716
305	0.1816360884	0.29512673	0.1721956812	0.6680973361	0.09590886713
310	0.181557605	0.2956895114	0.172713579	0.6692965257	0.09665924232
315	0.1814964064	0.2954268801	0.1737438164	0.6690553156	0.09640911726
320	0.181424355	0.2958270802	0.1748514535	0.6671405947	0.09635909224
325	0.1813557942	0.296114724	0.1761641932	0.6689601581	0.09675929234
330	0.1812696256	0.2962898116	0.1765692569	0.6697319725	0.09685934237
335	0.1811818123	0.2965774554	0.1773777166	0.6692446076	0.09680931736
340	0.1810898876	0.2965899616	0.1773040687	0.6694112818	0.09710946743
345	0.1810214152	0.2968150742	0.1779489745	0.6698964894	0.09765974257
350	0.1809393029	0.297152743	0.1787053249	0.6699961424	0.09760971756
355	0.1808482161	0.2975529431	0.1791486021	0.6711797765	0.09780981761
360	0.1807559927	0.2977780557	0.1792048802	0.6709306305	0.09795989264
365	0.1806744131	0.2981157245	0.1789562837	0.6723971827	0.09831006773
370	0.1805966108	0.2980281808	0.1799105108	0.6717884187	0.09821001771
375	0.1805097421	0.2983533433	0.180390473	0.6727329567	0.09866024282
380	0.1804286839	0.2984784059	0.1810237063	0.6729355055	0.09876029284
385	0.180350941	0.298978656	0.181792424	0.6745978626	0.09926054297
390	0.180281677	0.2993663498	0.1820397699	0.6755145422	0.09961071806
395	0.180207909	0.2991912623	0.1830123395	0.6759160056	0.09961071806
400	0.1801443436	0.2995664499	0.182650214	0.6765482662	0.09986084312
405	0.1800721043	0.2998791062	0.1835389917	0.6775197892	0.1002110182
410	0.1800147963	0.3001792563	0.1842265577	0.6776902765	0.1003610932
415	0.1799499084	0.3006670002	0.18496665	0.6784444414	0.1006112183
420	0.1798982004	0.3007795564	0.1847544606	0.6791554728	0.1006612433
425	0.1798342153	0.3012047691	0.1850832361	0.6799956115	0.1009613934
430	0.1797417892	0.3010797065	0.1856539381	0.6799749672	0.1007612933
435	0.1796582617	0.3011922628	0.1861366795	0.6795503376	0.1008113184
440	0.1795889472	0.3014548941	0.1860624757	0.6807253299	0.1011114684
445	0.1795219183	0.3015674504	0.1861605803	0.680412457	0.1008113184
450	0.1794434139	0.301942638	0.1868513423	0.6808951163	0.1012615435
455	0.1793808359	0.3024679006	0.1874510867	0.6822529425	0.1016617436
460	0.179317339	0.3023553443	0.1871191151	0.6826506105	0.1018118186
465	0.1792463584	0.3023053193	0.1880870991	0.6815524424	0.1015116685
470	0.1791888226	0.3028430882	0.187994136	0.6822430434	0.1017117686
475	0.1791261411	0.3029181257	0.1882217498	0.6825878768	0.1016617436
480	0.1790640318	0.303180757	0.1886829526	0.6819550206	0.1016617436
485	0.1790063576	0.3034558946	0.1891470735	0.6820497796	0.1016117186
490	0.1789460045	0.303818576	0.1893607915	0.6827733998	0.1020119187
495	0.1788861676	0.3036685009	0.1896135568	0.6830064709	0.1021619937
500	0.1788316205	0.304168751	0.1899244066	0.6834809145	0.1025621938
505	0.1787581104	0.3045939636	0.1899692902	0.6847801541	0.1028623439
510	0.1786869804	0.3046690012	0.1899349675	0.6833707923	0.1028123189
515	0.1786298961	0.3047565449	0.1908498694	0.6838300192	0.1030124189
520	0.1785700841	0.3050191763	0.1917460119	0.6849883004	0.1031624939
525	0.178507665	0.3050817075	0.1918275805	0.6839242583	0.1029623939
530	0.1784453331	0.3052192763	0.1917958979	0.6837464401	0.1030124189
535	0.17837522	0.3052943138	0.1923722973	0.6835346154	0.1031124689
540	0.1783072983	0.3054318826	0.1928361403	0.6828537284	0.1030124189
545	0.1782432443	0.3058696015	0.1934589517	0.6841519785	0.1031624939
550	0.178174304	0.306194764	0.1934485298	0.6847263604	0.103562694
555	0.1781255835	0.3064573954	0.1943181313	0.6846380711	0.1036127191
560	0.178070767	0.3066199767	0.1950357123	0.6851990534	0.1037627941
565	0.177986827	0.3069951642	0.1950805959	0.6855020604	0.1041629942
570	0.1779415252	0.306982658	0.1957320327	0.6845515852	0.1041129692
575	0.1778760268	0.306982658	0.1955952976	0.6841970428	0.1040629442
580	0.1778195431	0.3074954144	0.1965967706	0.685339443	0.1045631943
585	0.177749986	0.3073578456	0.1964007004	0.6847495648	0.1041629942
590	0.1776884761	0.3077330332	0.197192763	0.6850115284	0.1043130692
595	0.1776340724	0.307970652	0.1973445056	0.6853914802	0.1044631443
600	0.1775748161	0.3082082708	0.1974954144	0.6857853506	0.1047132693
605	0.1775096647	0.3081332333	0.1978147407	0.6858723113	0.1046632443
610	0.1774386994	0.3083708521	0.1984336613	0.6865415785	0.1048133194
615	0.1773905886	0.3087585459	0.1974884665	0.6874522782	0.1051634944
620	0.177325867	0.3092963148	0.1979068701	0.688635271	0.1057637946
625	0.1772613778	0.3095339336	0.1980716747	0.6897115306	0.1061639947
630	0.1771877947	0.3095214274	0.1989869935	0.6883965352	0.1059138696
635	0.1771361299	0.3098090712	0.1992383692	0.6888431871	0.1059138696
640	0.1770882299	0.3101092213	0.1991127508	0.6900073244	0.1060139197
645	0.1770276405	0.3102592963	0.2002064921	0.6893768504	0.1059638946
650	0.1769879127	0.3103843588	0.2004603691	0.6906491316	0.1061639947
655	0.1769325092	0.3103468401	0.2009727086	0.6908617379	0.1062640447
660	0.1768826619	0.3104218776	0.2010592796	0.690116127	0.1062640447
665	0.1768108213	0.3107095214	0.2016916792	0.6914578693	0.1065141698
670	0.1767670161	0.3108095715	0.2014294647	0.6909576191	0.1065641948
675	0.1767182967	0.3109596465	0.2017321161	0.6921580941	0.1067642948
680	0.1766709588	0.310984659	0.2017041854	0.6922843782	0.1068143199
685	0.1766191869	0.3113973653	0.2022438997	0.6933938615	0.1070144199
690	0.1765705883	0.3117975654	0.2021924851	0.6941114822	0.107264545
695	0.176525026	0.3118475905	0.2024206548	0.6947398413	0.10741462
700	0.176474924	0.3119851592	0.203331249	0.6943884751	0.10731457
705	0.1764332852	0.3122728031	0.2032123006	0.6952193164	0.1076647451
710	0.1763850766	0.3124228781	0.2042310044	0.6967634416	0.1077647951
715	0.1763363987	0.3124478906	0.2049558112	0.6951537207	0.10751467
720	0.1762850584	0.3124979156	0.2056644989	0.6961362556	0.1078648451
725	0.176236191	0.3130356845	0.2057214718	0.6968056855	0.1082650452
730	0.1761783495	0.3131857595	0.2060974932	0.6967549962	0.1081149702
735	0.1761410667	0.3133358346	0.2061746151	0.6970634838	0.1082650452
740	0.1760903472	0.3134358846	0.2067068256	0.697586265	0.1085651953
745	0.176038795	0.3136609972	0.2070044745	0.6977649945	0.1085651953
750	0.1759944955	0.3138110722	0.2072812795	0.698696767	0.1087652953
755	0.1759377837	0.3140361848	0.2068299427	0.6987334612	0.1089653954
760	0.1758987464	0.3140236785	0.2068475905	0.6988418487	0.1090154204
765	0.1758520584	0.3143488411	0.206648741	0.6993805796	0.1091154704
770	0.1758038307	0.3146614974	0.2067275304	0.700623084	0.1093155705
775	0.1757408129	0.3148615975	0.207683564	0.7008980717	0.1094156205
780	0.1756924069	0.3149741537	0.2077731922	0.7007614774	0.1094156205
785	0.1756476802	0.3151242288	0.2075441888	0.7016698681	0.1096157206
790	0.1756055941	0.3153118226	0.2076257573	0.7018890253	0.1097657956
795	0.1755518159	0.3157120227	0.2079325774	0.7028135135	0.1098658456
800	0.1754881163	0.3159121227	0.2081122506	0.7054134732	0.1104661458
805	0.1754266415	0.3162748041	0.2079407759	0.7057923534	0.1107162708
810	0.1753852642	0.3163748541	0.2091741704	0.7064015865	0.1109163709
815	0.1753439363	0.3165124229	0.2089946362	0.7078670629	0.1110164209
820	0.1753006377	0.3163998666	0.2098788283	0.7076113795	0.1108663459
825	0.1752579575	0.3169001167	0.2102146907	0.7085542897	0.111266546
830	0.175201918	0.3171502418	0.210276944	0.7090491536	0.111566696
835	0.1751482899	0.3175504419	0.210701045	0.7091407408	0.1116167211
840	0.1751137435	0.3175254294	0.2116743094	0.7085524926	0.1116167211
845	0.1750683059	0.3177005169	0.212002807	0.709570859	0.1119168711
850	0.1750233753	0.3177130232	0.2122992052	0.7089777052	0.1118668461
855	0.1749761201	0.318150742	0.2128964482	0.7095715799	0.1119668961
